#,ELO,Player,Clan,Streak,Percent,Games,Last game
1,"2,513",JulianK,τKc,14,74.64%,"3,316",5/9/2026
2,"2,436",Keturboy,Tur4n,1,68.87%,575,5/7/2026
3,"2,352",OnlyBaus,"'-",2,64.29%,"1,092",5/1/2026
4,"2,287",Toji,"'-",1,66.44%,894,5/10/2026
5,"2,285",Optimus,"'-",31,69.89%,"2,305",5/3/2026
6,"2,273",Hazza,SWC21,4,74.61%,"1,457",5/7/2026
7,"2,252",Ezad,KEKs,1,63.72%,"3,379",5/10/2026
8,"2,250",nybegynderen,"'-",5,65.49%,"1,133",5/9/2026
9,"2,235",beast8,KAIZN,3,68.57%,"1,174",5/5/2026
10,"2,234",Hasbullah,"'-","'-1",76.08%,209,4/27/2026
11,"2,227",Revnak,HoTP,"'-2",72.20%,"6,407",5/10/2026
12,"2,197",Frontline,"'-",8,64.15%,"3,939",5/3/2026
13,"2,192",Boo,"'-",4,67.52%,468,5/10/2026
14,"2,158",shake2020,MFalc,1,53.62%,"10,028",4/17/2026
15,"2,155",piropro,PIRO,7,61.38%,"3,353",5/10/2026
16,"2,143",samby,"'-","'-1",59.09%,"2,801",5/7/2026
17,"2,132",_Carp_,RøyaL,3,55.16%,"8,326",5/10/2026
18,"2,110",Prinz,SWC21,3,64.88%,"1,216",5/3/2026
19,"2,103",长矛足轻,"'-",4,63.39%,366,5/3/2026
20,"2,084",Kevin,PLOP,"'-3",56.13%,"8,234",5/10/2026
21,"2,081",Jigglypuff,"'-",1,59.23%,991,5/10/2026
22,"2,080",Shake,MFalc,"'-3",65.05%,372,5/10/2026
23,"2,067",Milk n Honey,N1LLA,3,54.64%,"2,015",5/8/2026
24,"2,066",dinguerie plz,"'-","'-3",60.26%,"1,364",5/10/2026
25,"2,060",SuHope,"'-","'-1",58.36%,670,5/3/2026
26,"2,060",[AOTDE] Aileyugg,AOTDE,6,59.69%,"4,969",5/10/2026
27,"2,054",تم بیوقوف ہو,"'-",2,57.07%,"12,880",5/10/2026
28,"2,047",10 Thugees 1 Boat,JANab,3,61.53%,"1,123",4/20/2026
29,"2,042",<color=0.6/1/0>GroGu_,LatWs,3,58.54%,"1,054",5/9/2026
30,"2,040",vxjujpn,"'-",2,80.81%,99,4/20/2026
31,"2,037",Guigs,WASHD,"'-4",65.29%,971,5/3/2026
32,"2,036",tkgrrnubptdj,"'-",4,72.27%,119,5/2/2026
33,"2,036",Psionic,"'-",2,53.41%,"2,784",5/10/2026
34,"2,032",iglwumaztmme,"'-",1,84.62%,78,4/19/2026
35,"2,032",Alice96522,"'-",2,66.92%,529,5/10/2026
36,"2,031",KONSENSUS,Tur4n,6,56.12%,"1,381",4/23/2026
37,"2,029",LukasL,JACKD,5,67.56%,"2,922",5/10/2026
38,"2,027",gglypuff,"'-",12,75.86%,116,4/28/2026
39,"2,024",pex,RøyaL,"'-2",70.90%,598,4/18/2026
40,"2,024",<color=1/0.09/0.09>彼岸花,Катюш,1,57.75%,"5,816",5/5/2026
41,"2,023",SoldieR,SolR,1,57.47%,"2,189",5/3/2026
42,"2,020",Learn Uthred,"'-",4,63.79%,243,5/4/2026
43,"2,018",General Villareal,"'-",2,52.81%,"2,274",4/17/2026
44,"2,016",iamturk,ssMgc,"'-1",54.58%,"2,378",5/10/2026
45,"2,011","love me, love my dog","'-",18,80.61%,98,4/27/2026
46,"2,007",十里山路不換肩,"'-",5,88.89%,63,5/8/2026
47,"2,006",ptimus,"'-",4,62.31%,199,4/26/2026
48,"2,002",Szczecin,STGAL,"'-5",61.88%,181,5/9/2026
49,"2,000",Harmony,"'-",2,55.37%,484,4/26/2026
50,"1,998",Kaleli,SWC21,1,53.34%,"6,443",4/18/2026
